run_id,dataset,exposure,condition,seed,brier,ece
junyi_warm_Random-Scalar_123,junyi,warm,Random-Scalar,123,0.1512826514608063,0.0138050142228289
junyi_warm_Random-Scalar_456,junyi,warm,Random-Scalar,456,0.1510496351761664,0.0041464914840466
junyi_warm_Random-Scalar_789,junyi,warm,Random-Scalar,789,0.1509114338872563,0.0027398788866059
junyi_warm_TrainEmpDiff_2024,junyi,warm,TrainEmpDiff,2024,0.1508661840436395,0.0076683433950353
junyi_warm_TrainEmpDiff_42,junyi,warm,TrainEmpDiff,42,0.150908733698178,0.0024332144152233
junyi_warm_TrainEmpDiff_123,junyi,warm,TrainEmpDiff,123,0.1512934645561703,0.013583666175851
junyi_warm_TrainEmpDiff_456,junyi,warm,TrainEmpDiff,456,0.1510405544758489,0.0042541858603091
junyi_warm_TrainEmpDiff_789,junyi,warm,TrainEmpDiff,789,0.1508733726003584,0.0025223767318028
xes3g5m_0_Standard_2024,xes3g5m,0,Standard,2024,0.251502857501589,0.2694758525876562
xes3g5m_0_Standard_42,xes3g5m,0,Standard,42,0.2413411430625583,0.2496594725879614
xes3g5m_0_Standard_123,xes3g5m,0,Standard,123,0.2728155304869188,0.3041553518822174
xes3g5m_0_Standard_456,xes3g5m,0,Standard,456,0.256638052915386,0.2806178218182221
xes3g5m_0_Standard_789,xes3g5m,0,Standard,789,0.231415367006667,0.2328126614818634
xes3g5m_0_LLM-Mini_2024,xes3g5m,0,LLM-Mini,2024,0.2334357201466015,0.2337520789817641
xes3g5m_0_LLM-Mini_42,xes3g5m,0,LLM-Mini,42,0.2720805776679163,0.3045377244249589
xes3g5m_0_LLM-Mini_123,xes3g5m,0,LLM-Mini,123,0.2547262093996752,0.2731539632605768
xes3g5m_0_LLM-Mini_456,xes3g5m,0,LLM-Mini,456,0.2614912918191586,0.2893968347667493
xes3g5m_0_LLM-Mini_789,xes3g5m,0,LLM-Mini,789,0.2345838503145904,0.2390040238273521
xes3g5m_0_LLM-5.4_2024,xes3g5m,0,LLM-5.4,2024,0.2330334091750112,0.2328848675394637
xes3g5m_0_LLM-5.4_42,xes3g5m,0,LLM-5.4,42,0.2778253692710484,0.3139383208077492
xes3g5m_0_LLM-5.4_123,xes3g5m,0,LLM-5.4,123,0.2520894837279936,0.268252975592246
xes3g5m_0_LLM-5.4_456,xes3g5m,0,LLM-5.4,456,0.2592073380209565,0.285398430712534
xes3g5m_0_LLM-5.4_789,xes3g5m,0,LLM-5.4,789,0.238056050825861,0.2462318555637807
xes3g5m_0_Random-Scalar_2024,xes3g5m,0,Random-Scalar,2024,0.2335521915976695,0.2339342202948723
xes3g5m_0_Random-Scalar_42,xes3g5m,0,Random-Scalar,42,0.2704826289327896,0.3025484562903354
xes3g5m_0_Random-Scalar_123,xes3g5m,0,Random-Scalar,123,0.2554698293439708,0.2741884013404023
xes3g5m_0_Random-Scalar_456,xes3g5m,0,Random-Scalar,456,0.2621396583203143,0.290240324361927
xes3g5m_0_Random-Scalar_789,xes3g5m,0,Random-Scalar,789,0.2335620660891822,0.2374791186399543
xes3g5m_0_TrainEmpDiff_2024,xes3g5m,0,TrainEmpDiff,2024,0.2338830176588901,0.2346508288739905
xes3g5m_0_TrainEmpDiff_42,xes3g5m,0,TrainEmpDiff,42,0.2658550705381072,0.294772480582591
xes3g5m_0_TrainEmpDiff_123,xes3g5m,0,TrainEmpDiff,123,0.2576710484044925,0.2782367193226747
xes3g5m_0_TrainEmpDiff_456,xes3g5m,0,TrainEmpDiff,456,0.2640263692906207,0.2935423326163464
xes3g5m_0_TrainEmpDiff_789,xes3g5m,0,TrainEmpDiff,789,0.2307921811874205,0.2315174976595078
xes3g5m_1_Standard_2024,xes3g5m,1,Standard,2024,0.1806943250331854,0.0697974444541271
xes3g5m_1_Standard_42,xes3g5m,1,Standard,42,0.1835164000299563,0.0888020482552129
xes3g5m_1_Standard_123,xes3g5m,1,Standard,123,0.1894238909445887,0.1069390936250486
xes3g5m_1_Standard_456,xes3g5m,1,Standard,456,0.1848671839181137,0.0954944136074126
xes3g5m_1_Standard_789,xes3g5m,1,Standard,789,0.1794790988575202,0.0678127405612846
xes3g5m_1_LLM-Mini_2024,xes3g5m,1,LLM-Mini,2024,0.1780896156461422,0.0477648239743849
