run_id,dataset,exposure,condition,seed,status,mask_hash,split_hash,universe_hash,log_loss,brier,auc,accuracy,ece,n_predictions,best_val_log_loss,best_epoch,n_parameters,deployable,config_hash,code_commit,start_time_utc,wall_time_s
pilot_junyi_5_LLM-Mini_2024,junyi,5,LLM-Mini,2024,ok,8f68b3145608bc405404d691086a4ddcb97897fd817713321a88b2a7ac85eae5,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.5898235889772119,0.2003262228053186,0.6284527779525577,0.718628851254846,0.0688107113063736,4901.0,0.5995872418085734,6.0,12610.0,True,,,,
pilot_junyi_5_LLM-5.4_2024,junyi,5,LLM-5.4,2024,ok,8f68b3145608bc405404d691086a4ddcb97897fd817713321a88b2a7ac85eae5,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.5898289320589155,0.2003272039051225,0.6281178173150591,0.7192409712303611,0.0693322875455456,4901.0,0.5996312697728475,6.0,12610.0,True,,,,
pilot_junyi_5_Random-Scalar_2024,junyi,5,Random-Scalar,2024,ok,8f68b3145608bc405404d691086a4ddcb97897fd817713321a88b2a7ac85eae5,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.5898803247470016,0.200351346249424,0.628493799835419,0.718628851254846,0.0688624571012346,4901.0,0.599637528260549,6.0,12610.0,True,,,,
pilot_junyi_5_TrainEmpDiff_2024,junyi,5,TrainEmpDiff,2024,ok,8f68b3145608bc405404d691086a4ddcb97897fd817713321a88b2a7ac85eae5,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.589621868357295,0.2002373705378454,0.6291999108416622,0.7190369312385227,0.0689336123380873,4901.0,0.5993832945823669,6.0,12610.0,True,,,,
pilot_junyi_10_Standard_2024,junyi,10,Standard,2024,ok,1cd7e984198d31f0cfe90093a9edc8831568ef3b363809c91f4d71819e7841ac,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.5900352693038956,0.200240823146177,0.658037369187487,0.7202611711895531,0.0869631677336946,4901.0,0.5985920627911886,6.0,12609.0,True,,,,
pilot_junyi_10_LLM-Mini_2024,junyi,10,LLM-Mini,2024,ok,1cd7e984198d31f0cfe90093a9edc8831568ef3b363809c91f4d71819e7841ac,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.5908575622611386,0.2006404647415476,0.6425243118913289,0.7188328912466844,0.0804933388849541,4901.0,0.5986060500144958,6.0,12610.0,True,,,,
pilot_junyi_10_LLM-5.4_2024,junyi,10,LLM-5.4,2024,ok,1cd7e984198d31f0cfe90093a9edc8831568ef3b363809c91f4d71819e7841ac,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.590852080720814,0.2006422751202604,0.6417547660436687,0.7188328912466844,0.0802859811424308,4901.0,0.5985235571861267,6.0,12610.0,True,,,,
pilot_junyi_10_Random-Scalar_2024,junyi,10,Random-Scalar,2024,ok,1cd7e984198d31f0cfe90093a9edc8831568ef3b363809c91f4d71819e7841ac,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.5910563055968769,0.2007313924461994,0.6420148797369993,0.7190369312385227,0.0809716866639555,4901.0,0.5987525383631388,6.0,12610.0,True,,,,
pilot_junyi_10_TrainEmpDiff_2024,junyi,10,TrainEmpDiff,2024,ok,1cd7e984198d31f0cfe90093a9edc8831568ef3b363809c91f4d71819e7841ac,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.5907241180290344,0.2005806757797701,0.6430185279086571,0.7190369312385227,0.0806018719987415,4901.0,0.5984223087628683,6.0,12610.0,True,,,,
pilot_junyi_20_Standard_2024,junyi,20,Standard,2024,ok,27e02e39484ecb56ee944a7f7204bdda1c6ae3e6966220d0521f2d57e6e9bbee,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.5841964315210633,0.1977778149606188,0.6533605661060959,0.7182207712711691,0.0711401261874204,4901.0,0.5944172739982605,6.0,12609.0,True,,,,
pilot_junyi_20_LLM-Mini_2024,junyi,20,LLM-Mini,2024,ok,27e02e39484ecb56ee944a7f7204bdda1c6ae3e6966220d0521f2d57e6e9bbee,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.5849267836002007,0.1980786830612372,0.6515841849229467,0.7180167312793307,0.0813477365758024,4901.0,0.5951040188471476,6.0,12610.0,True,,,,
pilot_junyi_20_LLM-5.4_2024,junyi,20,LLM-5.4,2024,ok,27e02e39484ecb56ee944a7f7204bdda1c6ae3e6966220d0521f2d57e6e9bbee,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.5849078124024534,0.1980726769895498,0.6513905904231279,0.7180167312793307,0.0816287546711438,4901.0,0.5950403809547424,6.0,12610.0,True,,,,
pilot_junyi_20_Random-Scalar_2024,junyi,20,Random-Scalar,2024,ok,27e02e39484ecb56ee944a7f7204bdda1c6ae3e6966220d0521f2d57e6e9bbee,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.5850243447420251,0.1981218017992888,0.6512166329649794,0.7180167312793307,0.0806375475434278,4901.0,0.5951919754346212,6.0,12610.0,True,,,,
pilot_junyi_20_TrainEmpDiff_2024,junyi,20,TrainEmpDiff,2024,ok,27e02e39484ecb56ee944a7f7204bdda1c6ae3e6966220d0521f2d57e6e9bbee,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.5847197659558896,0.1979878762580244,0.6526027407963961,0.7178126912874924,0.0821984814298661,4901.0,0.5948644876480103,6.0,12610.0,True,,,,
