dataset,exposure,metric,condition_a,condition_b,mean_diff,ci_lo,ci_hi,cohens_d,n_seeds,p_value,p_value_holm
junyi,0,auc,LLM-Mini,Random-Scalar,-0.0015787840168410838,-0.005672191270263092,0.0025146232365809247,-0.33807099008567865,5,0.4917549759296773,1.0
junyi,0,brier,LLM-Mini,Random-Scalar,0.0008610305969423193,-0.0009153613347204025,0.002637422528605041,0.4248628115706244,5,0.3958951656427728,1.0
junyi,0,log_loss,LLM-5.4,Random-Scalar,0.003297192393973414,-0.003288578272419687,0.009882963060366515,0.43884199136083407,5,0.38201254081621294,1.0
junyi,0,auc,LLM-5.4,Random-Scalar,-2.7790310648101447e-05,-0.002410708260587525,0.002355127639291322,-0.01022242150525601,5,0.9828582807745331,1.0
junyi,0,brier,LLM-5.4,Random-Scalar,0.0016052018114084353,-0.0016221769614541376,0.004832580584271008,0.4359629599939692,5,0.3848367109107069,1.0
junyi,0,log_loss,LLM-Mini,TrainEmpDiff,0.002813492191403988,-0.002911026192683878,0.008538010575491854,0.43080145746727205,5,0.3899464266336859,1.0
junyi,0,auc,LLM-Mini,TrainEmpDiff,-0.0011364215540458189,-0.0032856043763032864,0.0010127612682116485,-0.4634846969140707,5,0.3585616880153515,1.0
junyi,0,brier,LLM-Mini,TrainEmpDiff,0.0013667249999773478,-0.001437198633171268,0.004170648633125964,0.4272525554371442,5,0.3934923012422857,1.0
junyi,0,log_loss,LLM-5.4,TrainEmpDiff,0.004353871537811083,-0.004353309808138311,0.013061052883760476,0.43829715659700547,5,0.38254586907213556,1.0
junyi,0,auc,LLM-5.4,TrainEmpDiff,0.00041457215214716345,-0.0017724362791019734,0.0026015805833963005,0.16615713582890854,5,0.7290786394718517,1.0
junyi,0,brier,LLM-5.4,TrainEmpDiff,0.002110896214443464,-0.0021447600267875027,0.006366552455674431,0.43478095885563045,5,0.3860019128527602,1.0
junyi,1,log_loss,LLM-Mini,Standard,0.004974737142993168,-0.013344931110371855,0.023294405396358193,0.23802544995370747,5,0.6227491299201138,1.0
junyi,1,auc,LLM-Mini,Standard,-0.002029525096720719,-0.00561678842980571,0.0015577382363642723,-0.4959080699385151,5,0.32965733688150045,1.0
junyi,1,brier,LLM-Mini,Standard,0.002432352158307344,-0.006588788077880469,0.011453492394495156,0.23633914814352433,5,0.6251351170613786,1.0
junyi,1,log_loss,LLM-5.4,Standard,0.0064366270945031,-0.013661779037695602,0.026535033226701803,0.2807162870587984,5,0.564252733165811,1.0
junyi,1,auc,LLM-5.4,Standard,-0.00033102701684271094,-0.003344790581551718,0.002682736547866296,-0.09627733675360978,5,0.8400778112497903,1.0
junyi,1,brier,LLM-5.4,Standard,0.0031556393855781406,-0.0067420413786804835,0.013053320149836765,0.27946318883185983,5,0.5659158389421817,1.0
